MicrobialGroup,SampleCategory,Total_Sequences,Unique_Sequences,Total_Alignments,Avg_Alignments_Per_Sequence,Max_Alignments
PARASITE,Metastatic,254,252,254,1,1
PARASITE,Tumor,9,9,9,1,1
FUNGI,Metastatic,54,54,54,1,1
VIRUS,Metastatic,16,16,16,1,1
BACT,Metastatic,575,569,575,1,1
PARASITE,Familial,4,4,4,1,1
BACT,BRCA_mutated,8,8,8,1,1
BACT,Tumor,34,34,34,1,1
BACT,Surrounding,15,15,15,1,1
FUNGI,Surrounding,2,2,2,1,1
VIRUS,Tumor,1,1,1,1,1
PARASITE,BRCA_mutated,1,1,1,1,1
FUNGI,Tumor,1,1,1,1,1
BACT,Familial,2,2,2,1,1
PARASITE,Healthy,2,2,2,1,1
PARASITE,Surrounding,6,6,6,1,1
VIRUS,Surrounding,1,1,1,1,1
BACT,Healthy,6,6,6,1,1
