"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"ES01RT.unmapped_2_unclassified_parasite_90pct_coverage_filtered_hits","contig_9732","NW_001851409",91.304,2.98e-09,63.9,46,41.99984,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Medium"
"ES05RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_19989","NW_001850136",89.091,1.68e-10,67.6,55,49.00005,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63455","NW_021628287",100,2.21e-73,278,150,150,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63454","NW_021628287",99.333,1.03e-71,272,150,148.9995,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63456","NW_021628287",99.333,1.03e-71,272,150,148.9995,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63459","NW_021628287",99.333,1.03e-71,272,150,148.9995,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63457","NW_021628287",99.324,1.33e-70,268,148,146.99952,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63448","NW_021628287",98.667,4.78e-70,267,150,148.0005,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63452","NW_021628287",98.667,4.78e-70,267,150,148.0005,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63453","NW_021628287",98.667,4.78e-70,267,150,148.0005,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_63458","NW_021628287",98,2.22e-68,261,150,147,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_49171","NW_021628287",96.739,3.88e-36,154,92,88.99988,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"ES04RB2.unmapped_1_unclassified_parasite_90pct_coverage_filtered_hits","contig_14583","NW_021628287",96.774,3.85e-36,154,93,89.99982,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"HT08RB.unmapped_2_unclassified_parasite_90pct_coverage_filtered_hits","contig_4095","NW_021628287",97.561,4.91e-32,139,82,80.00002,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
"HT04RT.unmapped_2_unclassified_parasite_90pct_coverage_filtered_hits","contig_23228","NW_021628287",96.429,1.83e-31,137,84,81.00036,"Strongyloides stercoralis","Colorectal cancer (emerging)","Immune modulation; chronic GI infection","Emerging Strong","2_Strong","Medium"
