"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"CPCT02020539T_vs_parasite_coverage_filtered_hits","k127_10903","NW_001850136",92.593,3.7e-12,76.8,54,50.00022,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Medium"
"CPCT02020539T_vs_parasite_coverage_filtered_hits","k127_10903","NW_001851409",93.75,4.79e-11,73.1,48,45,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Medium"
"CPCT02230101T_vs_parasite_coverage_filtered_hits","k127_4365","NW_001850701",93.182,7.22e-09,65.8,44,41.00008,"Schistosoma haematobium","Bladder cancer","Chronic inflammation; DNA damage; nitrosamines","WHO Class 1","1_Direct","Medium"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_22499","NW_001850136",78.886,3.98e-71,272,431,339.99866,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02010468T_vs_parasite_coverage_filtered_hits","k127_3182","NW_001850136",82.456,2.79e-63,246,285,234.9996,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_8092","NW_001850136",82.105,3.78e-62,243,285,233.99925,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02030218TII_vs_parasite_coverage_filtered_hits","k127_18502","NW_001850136",76.854,5.15e-60,235,445,342.0003,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_15176","NW_001850136",79.3,9.45e-58,228,343,271.999,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_8092","NW_001850136",84.716,1.06e-57,228,229,193.99964,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02050288T_vs_parasite_coverage_filtered_hits","k127_29902","NW_001851409",85.268,3.41e-57,226,224,191.00032,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02010468T_vs_parasite_coverage_filtered_hits","k127_27792","NW_001850136",80.612,1.19e-56,224,294,236.99928,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02220041T_vs_parasite_coverage_filtered_hits","k127_20590","NW_001850136",77.088,1.2e-56,224,419,322.99872,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02010359T_vs_parasite_coverage_filtered_hits","k127_6577","NW_001850136",80.714,6.56e-55,219,280,225.9992,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02030218TII_vs_parasite_coverage_filtered_hits","k127_22750","NW_001850136",79.421,6.85e-55,219,311,246.99931,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02120024T_vs_parasite_coverage_filtered_hits","k127_7112","NW_001850136",77.66,2.89e-53,213,376,292.0016,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02290001T_vs_parasite_coverage_filtered_hits","k127_18925","NW_001850136",84.615,2.51e-53,213,221,186.99915,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02030218TII_vs_parasite_coverage_filtered_hits","k127_18502","NW_001850136",79.934,8.68e-53,211,304,242.99936,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02290001T_vs_parasite_coverage_filtered_hits","k127_18925","NW_001850136",86.772,9.03e-53,211,189,163.99908,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230002T_vs_parasite_coverage_filtered_hits","k127_4246","NW_001850136",79.739,4.09e-52,209,306,244.00134,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_22499","NW_001851409",81.89,1.14e-51,207,254,208.0006,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_15176","NW_001850136",82.231,1.23e-51,207,242,198.99902,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_22308","NW_001850136",82.759,4.71e-51,206,232,192.00088,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02020539T_vs_parasite_coverage_filtered_hits","k127_10141","NW_001850136",81.967,1.53e-50,204,244,199.99948,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_3858","NW_001850136",83.333,1.5e-50,204,228,189.99924,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02030218TII_vs_parasite_coverage_filtered_hits","k127_22750","NW_001850136",82.883,2.48e-49,200,222,184.00026,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02120024T_vs_parasite_coverage_filtered_hits","k127_7112","NW_001850136",85.263,1.05e-47,195,190,161.9997,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230101T_vs_parasite_coverage_filtered_hits","k127_4365","NW_001851409",80.524,8.83e-48,195,267,214.99908,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230101T_vs_parasite_coverage_filtered_hits","k127_4365","NW_001850136",80.216,8.83e-48,195,278,223.00048,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02030218TII_vs_parasite_coverage_filtered_hits","k127_18502","NW_001850136",81.557,3.14e-47,193,244,198.99908,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02020539T_vs_parasite_coverage_filtered_hits","k127_10141","NW_001851409",80.632,1.19e-46,191,253,203.99896,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230002T_vs_parasite_coverage_filtered_hits","k127_4246","NW_001851409",79.433,5.33e-46,189,282,224.00106,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_569","NW_001850136",86.628,5.48e-46,189,172,149.00016,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02010468T_vs_parasite_coverage_filtered_hits","k127_3182","NW_001850136",83.838,1.71e-45,187,198,165.99924,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02160019T_vs_parasite_coverage_filtered_hits","k127_9666","NW_001850136",80.709,1.9e-45,187,254,205.00086,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230120T_vs_parasite_coverage_filtered_hits","k127_12419","NW_001850136",81.435,1.61e-45,187,237,193.00095,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02160019T_vs_parasite_coverage_filtered_hits","k127_9666","NW_001850136",80.156,6.82e-45,185,257,206.00092,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230120T_vs_parasite_coverage_filtered_hits","k127_12419","NW_001850136",82.243,5.78e-45,185,214,176.00002,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_8092","NW_001850136",82.028,6.47e-45,185,217,178.00076,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02240005T_vs_parasite_coverage_filtered_hits","k127_18129","NW_001851409",83.824,1.98e-44,183,204,171.00096,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02020539T_vs_parasite_coverage_filtered_hits","k127_10903","NW_001851409",81.897,7.62e-44,182,232,190.00104,"Clonorchis sinensis","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230101T_vs_parasite_coverage_filtered_hits","k127_4365","NW_001850136",84.656,6.88e-44,182,189,159.99984,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02230120T_vs_parasite_coverage_filtered_hits","k127_6882","NW_001850136",81.057,2.61e-43,180,227,183.99939,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
"CPCT02020599T_vs_parasite_coverage_filtered_hits","k127_18605","NW_001850136",82.843,9.8e-43,178,204,168.99972,"Opisthorchis viverrini","Cholangiocarcinoma","Bile duct damage & chronic inflammation","WHO Class 1","1_Direct","Low"
