"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"ES01RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_1736","NZ_JAUEHL010000030",100,2.33e-73,278,150,150,"Acinetobacter baumannii","Cancer mortality in immunocompromised; ICU cancer patients","Multi-drug resistance; immune suppression in cancer patients","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_51611","NZ_MLWD01000035",100,2.33e-73,278,150,150,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_51611","NZ_MLXP01000026",100,2.33e-73,278,150,150,"Streptococcus mutans","Oral cancer; Head and neck cancer; Esophageal cancer","IL-6 production; EMT induction; myeloid-derived suppressor cell recruitment","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_51611","NZ_MLTT01000022",100,2.33e-73,278,150,150,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"ES02RT.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_51611","NZ_MLRF01000022",100,2.33e-73,278,150,150,"Peptostreptococcus anaerobius","Colorectal cancer; Liver metastases","Butyrate metabolism disruption; immune evasion","Emerging Strong","2_Strong","Medium"
"ES05RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_9865","NZ_FKXL01000017",100,2.33e-73,278,150,150,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"ES05RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_9865","NZ_FKWV01000005",100,2.33e-73,278,150,150,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"ES05RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_9865","NZ_FKXF01000023",100,2.33e-73,278,150,150,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"ES05RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_15446","NZ_FKXL01000017",100,2.33e-73,278,150,150,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"ES05RB.unmapped_1_classified_bact_90pct_coverage_filtered_hits","contig_15446","NZ_FKWV01000005",100,2.33e-73,278,150,150,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
