"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Mycotoxin","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_446","NG_055731",98,1.34e-68,261,150,147,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_64975","NG_055731",98,1.34e-68,261,150,147,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_40656","NG_055731",98,1.34e-68,261,150,147,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT06RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_23860","NG_055731",98,1.34e-68,261,150,147,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES03RB_L6.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_56663","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"ES05RT.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_83103","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_4593","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT02RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_12708","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT04RT.unmapped_2_classified_fungi_90pct_coverage_filtered_hits","contig_24807","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
"HT07RB.unmapped_1_classified_fungi_90pct_coverage_filtered_hits","contig_11432","NG_055731",97.987,4.77e-68,259,149,146.00063,"Aspergillus flavus","Aflatoxin","Liver cancer","DNA adducts, mutation, genotoxicity","WHO Class 1 (toxin)","1_Direct","Medium"
