"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"ES05RT.unmapped_2_classified_virus_90pct_coverage_filtered_hits","contig_36547","NC_003521",89.412,6.47e-22,106,85,76.0002,"Hepatitis B virus","Hepatocellular carcinoma; Liver cancer","Chronic hepatitis; Viral DNA integration; HBx protein oncogene","WHO Class 1","1_Direct","Low"
"ES05RT.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_81915","NC_003521",89.041,6.47e-17,89.8,73,64.99993,"Hepatitis B virus","Hepatocellular carcinoma; Liver cancer","Chronic hepatitis; Viral DNA integration; HBx protein oncogene","WHO Class 1","1_Direct","Low"
"ES05RT.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_81916","NC_003521",89.041,6.52e-17,89.8,73,64.99993,"Hepatitis B virus","Hepatocellular carcinoma; Liver cancer","Chronic hepatitis; Viral DNA integration; HBx protein oncogene","WHO Class 1","1_Direct","Low"
"ES05RT.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_11437","NC_006273",100,1.31e-73,278,150,150,"Human papillomavirus 33","Cervical cancer; Anogenital cancers","Viral DNA integration; E6/E7 oncoproteins; DNA damage","IARC 2A","2_Strong","Medium"
"HT03RTmix_EKRN25H000089-1A_22TV32LT4_L4.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_6364","NC_022518",100,1.31e-73,278,150,150,"Human endogenous retrovirus K","Breast cancer; Prostate cancer","Endogenous retroviral activation; Immune modulation","Emerging Strong","2_Strong","Medium"
"HT03RTmix_EKRN25H000089-1A_22TV32LT4_L4.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_6364","NC_022518",100,1.31e-73,278,150,150,"Mouse mammary tumor virus-like","Breast cancer (experimental model)","Retroviral integration; Hormone receptor modulation","Experimental Strong","2_Strong","Medium"
"ES05RT.unmapped_1_classified_virus_90pct_coverage_filtered_hits","contig_63337","NC_006273",100,4.66e-73,276,149,149,"Human papillomavirus 33","Cervical cancer; Anogenital cancers","Viral DNA integration; E6/E7 oncoproteins; DNA damage","IARC 2A","2_Strong","Medium"
"ES05RT.unmapped_2_classified_virus_90pct_coverage_filtered_hits","contig_8932","NC_006273",100,4.66e-73,276,149,149,"Human papillomavirus 33","Cervical cancer; Anogenital cancers","Viral DNA integration; E6/E7 oncoproteins; DNA damage","IARC 2A","2_Strong","Medium"
"ES05RT.unmapped_2_classified_virus_90pct_coverage_filtered_hits","contig_34131","NC_006273",100,4.66e-73,276,149,149,"Human papillomavirus 33","Cervical cancer; Anogenital cancers","Viral DNA integration; E6/E7 oncoproteins; DNA damage","IARC 2A","2_Strong","Medium"
"ES05RT.unmapped_2_classified_virus_90pct_coverage_filtered_hits","contig_36547","NC_006273",100,4.66e-73,276,149,149,"Human papillomavirus 33","Cervical cancer; Anogenital cancers","Viral DNA integration; E6/E7 oncoproteins; DNA damage","IARC 2A","2_Strong","Medium"
