"Sample","QueryID","SubjectID","Identity","Evalue","Bitscore","AlignmentLength","Coverage","Species","Cancer_Association","Mechanism","Evidence_Level","Relevance_Level","Confidence"
"CPCT02080039T_vs_bact_coverage_filtered_hits","k127_5367","NZ_FKWV01000005",97.439,0,2728,1601,1559.99839,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080039T_vs_bact_coverage_filtered_hits","k127_5367","NZ_FKXF01000023",97.439,0,2728,1601,1559.99839,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080039T_vs_bact_coverage_filtered_hits","k127_5367","NZ_FKXL01000017",97.314,0,2717,1601,1557.99714,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_5834","NZ_FKWV01000005",97.289,0,2314,1365,1327.99485,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_5834","NZ_FKXF01000023",97.289,0,2314,1365,1327.99485,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160008T_vs_bact_coverage_filtered_hits","k127_5834","NZ_FKXL01000017",97.143,0,2303,1365,1326.00195,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_6636","NZ_FKWV01000005",96.262,0,2095,1284,1236.00408,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_6636","NZ_FKXF01000023",96.262,0,2095,1284,1236.00408,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02160019T_vs_bact_coverage_filtered_hits","k127_6636","NZ_FKXL01000017",96.106,0,2084,1284,1234.00104,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02100017T_vs_bact_coverage_filtered_hits","k127_19119","NZ_FKWV01000005",98.229,0,2073,1186,1164.99594,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02100017T_vs_bact_coverage_filtered_hits","k127_19119","NZ_FKXF01000023",98.229,0,2073,1186,1164.99594,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02100017T_vs_bact_coverage_filtered_hits","k127_19119","NZ_FKXL01000017",98.061,0,2061,1186,1163.00346,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_15681","NZ_FKXL01000017",98.107,0,2025,1162,1140.00334,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_15681","NZ_FKWV01000005",98.107,0,2025,1162,1140.00334,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02080056T_vs_bact_coverage_filtered_hits","k127_15681","NZ_FKXF01000023",98.107,0,2025,1162,1140.00334,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_2658","NZ_FKXL01000017",97.393,0,2023,1189,1158.00277,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_2658","NZ_FKWV01000005",97.393,0,2023,1189,1158.00277,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230099T_vs_bact_coverage_filtered_hits","k127_2658","NZ_FKXF01000023",97.393,0,2023,1189,1158.00277,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230036T_vs_bact_coverage_filtered_hits","k127_15427","NZ_FKXL01000017",97.615,0,1940,1132,1105.0018,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
"CPCT02230036T_vs_bact_coverage_filtered_hits","k127_15427","NZ_FKWV01000005",97.615,0,1940,1132,1105.0018,"Fusobacterium nucleatum subtype Fna C2","Colorectal cancer","Specific virulence factors; enhanced tumor microenvironment modulation","Emerging Strong","2_Strong","Medium"
